MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
6.96,6.48,15.6,7.48,32.5,54.9,2
7.01,6.3,16.01,8.32,32.4,54.2,2
6.96,6.27,15.94,8.26,32.5,56.4,2
7.01,6.19,15.67,8.26,32.5,56.8,2
6.93,6.22,15.74,8.19,32.5,57.3,2
6.76,6.04,14.88,8.23,32.5,58.5,2
6.79,6.07,15.01,8.23,32.5,58,2
6.82,6.04,14.76,8.07,32.5,55.6,2
6.79,5.92,15.01,8.49,32.5,56.4,2
6.71,5.75,13.97,8.16,32.5,57.6,2
6.76,5.89,14.69,8.36,32.5,58.7,2
6.71,5.87,14.45,8.13,32.5,58.5,2
6.74,5.92,14.88,8.07,32.6,57,2
6.71,5.84,14.32,8.13,32.6,58.1,2
6.68,5.84,14.63,8.1,32.6,58.1,2
6.76,5.63,13.51,7.85,32.6,57.5,2
6.71,5.58,13.85,7.45,32.6,58.6,2
6.71,5.67,13.97,8.13,32.6,59.1,2
6.65,5.67,13.07,8.19,32.6,59.4,2
6.65,5.65,13.74,8.1,32.6,58.9,2
6.57,5.46,13.62,8.16,32.6,59.4,2
6.55,5.46,13.29,8.23,32.6,60,2
6.49,5.12,13.45,8.16,32.6,60.5,2
6.52,5.32,13.57,8.1,32.6,60.8,2
6.63,5.18,13.45,7.97,32.6,59.5,2
6.52,5.12,13.45,8.03,32.6,59.8,2
6.55,5.37,13.07,8,32.6,56.1,2
6.79,5.65,12.39,8.16,32.6,54,2
6.82,5.55,13.74,7.91,32.6,51.1,2
6.85,5.7,14.63,8.23,32.6,50,2
7.04,5.92,15.01,8.07,32.6,49.2,2
7.1,5.94,16.37,7.88,32.7,50,2
7.21,5.77,14.57,7.69,32.6,49.7,2
7.19,5.6,14.14,8.03,32.7,50.7,2
7.19,6.07,15.2,7.97,32.7,51.9,2
7.3,5.7,12.75,7.91,32.6,50,2
7.3,5.79,14.26,7.66,32.6,50.8,2
7.33,5.94,13.51,7.97,32.6,50.2,2
7.36,5.99,12.04,7.91,32.7,50.5,2
7.27,6.04,13.91,8.03,32.7,50.6,2
7.3,6.17,14.32,7.51,32.7,50.3,2
7.33,6.32,15.53,7.97,32.7,49.8,2
7.45,6.25,14.32,7.81,32.7,48.9,2
7.36,6.27,14.32,7.91,32.7,49.6,2
7.36,6.07,14.51,7.81,32.7,49.1,2
7.3,5.94,14.57,7.75,32.7,50.2,2
7.3,5.99,14.38,7.85,32.7,50.6,2
7.33,5.87,13.79,7.72,32.7,51.5,2
7.3,5.6,6.9,7.94,32.7,50.5,2
7.27,5.63,13.23,7.75,32.7,52.6,2
7.16,5.65,13.4,7.75,32.7,51.3,2
7.13,5.65,12.59,7.81,32.7,50.1,2
7.1,5.77,13.4,7.69,32.7,50.8,2
7.19,5.51,12.86,7.88,32.7,50.4,2
7.19,5.58,13.91,7.78,32.7,50,2
7.16,5.39,12.8,7.75,32.7,49.9,2
7.07,5.46,12.49,7.88,32.7,52.3,2
7.1,5.46,12.65,7.75,32.7,51.5,2
7.07,5.14,11.47,7.72,32.7,52.1,2
7.13,5.18,11.52,7.75,32.7,53.7,2
6.99,5.23,11.38,7.81,32.7,52.6,2
6.99,5.23,11.25,7.51,32.7,52.5,2
6.99,5.25,11.07,7.54,32.8,52.1,2
6.99,5.41,11.99,7.63,32.7,52.7,2
7.07,5.7,12.14,7.72,32.7,52.7,2
7.07,5.6,12.24,7.33,32.7,50.7,2
7.13,5.63,13.29,7.72,32.7,50.1,2
7.1,4.96,12.8,7.72,32.7,50.5,2
7.19,5.14,12.09,7.54,32.7,51.2,2
7.13,5.58,12.19,6.99,32.7,50.8,2
7.13,5.58,12.19,7.24,32.8,51.7,2
7.21,5.84,13.12,7.72,32.8,52.1,2
